address,Time of first deposit on Arbitrum mainnet,Amount of first deposit on Arbitrum mainnet,Last transaction time on Arbitrum mainnet,,,,,,,,,,,,,,,,,,,,,,
0xaaf2ebb2c3301b161dbcb0d3e6fadb530afa1d3b,2023-07-01 10:46:46.000 UTC,0.03,2023-10-26 09:20:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x2905b859f17a0675307c4e48806ab2087126d599,2023-07-01 10:48:25.000 UTC,0.03,2023-10-26 11:03:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xbf6f381177b89da3e9b2b992b33af3e1547b5daf,2023-07-01 15:50:54.000 UTC,0.03,2023-11-23 06:57:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x871020ec9ec49cf50eb8fec86e419b80440e9e6f,2023-07-01 16:10:32.000 UTC,0.03,2023-10-27 04:47:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xa2a903aee80510ec6b5c8bd28fecce73d7940626,2023-07-01 16:21:16.000 UTC,0.03,2023-10-09 02:36:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xef77d489e3f777939b328a838211e4bc6c5d4db1,2023-07-01 16:21:32.000 UTC,0.03,2023-10-09 02:36:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x9501ca837728513bf2a6cbd46753dfdd8a389eae,2023-07-01 16:21:55.000 UTC,0.03,2023-10-09 02:36:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x84c81f5b57745388788fbcb3a6b422eb8e5baba3,2023-07-01 16:22:12.000 UTC,0.03,2023-10-09 02:37:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x24a2dd956a606ad897f2e45b7c358a5c9cfc8cc8,2023-07-01 16:22:30.000 UTC,0.03,2023-10-09 02:36:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x7aa97e79b72e9408994ad9fd9e3731cf6a65de6f,2023-07-01 16:26:33.000 UTC,0.03,2023-10-09 02:43:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x6dbe6452e1d7af3ed79844da1a17c9b3bb29e7c8,2023-07-01 16:27:06.000 UTC,0.03,2023-10-09 02:43:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x38a7e28a61a5d64ecdd4ff9cdcc552827d88f5f0,2023-07-01 16:27:31.000 UTC,0.03,2023-10-09 02:43:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x2cce534427a053cd03188f4b8134a03d3a6b7db5,2023-07-01 16:27:53.000 UTC,0.03,2023-10-09 02:43:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xb14eaea2a50ee5789dcfa80e2f5c5b46a9728569,2023-07-01 16:28:22.000 UTC,0.03,2023-10-09 02:52:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xffa83b19a84cbe64f75c6e5c030aa75ab5ea3d90,2023-07-01 16:28:39.000 UTC,0.03,2023-10-09 02:52:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x5e1765526ac65365fd246183848bb15f72184cad,2023-07-01 16:29:26.000 UTC,0.03,2023-10-09 02:52:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x8f243e52a60641e0604ffbad917160a1c9f6b3b6,2023-07-01 16:29:46.000 UTC,0.03,2023-10-09 02:52:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
